DataProviderID,IsRestrictedEdit,IsPublicInterest,MetadataFields,ID,Title
1,False,True,"[{'MetadataGroupID': 1, 'DataTypeID': 10, 'DataType': None, 'MetadataFieldOptions': [{'MetadataFieldID': 1, 'ID': 1, 'Title': 'Shopping'}, {'MetadataFieldID': 1, 'ID': 2, 'Title': 'Hotel'}, {'MetadataFieldID': 1, 'ID': 3, 'Title': 'Restaurant'}, {'MetadataFieldID': 1, 'ID': 8, 'Title': 'Parking'}, {'MetadataFieldID': 1, 'ID': 9, 'Title': 'Secure'}], 'ID': 1, 'Title': 'POI Type'}, {'MetadataGroupID': 1, 'DataTypeID': 1, 'DataType': None, 'MetadataFieldOptions': None, 'ID': 2, 'Title': 'Access Hours'}, {'MetadataGroupID': 1, 'DataTypeID': 10, 'DataType': None, 'MetadataFieldOptions': [{'MetadataFieldID': 4, 'ID': 4, 'Title': 'Positioning'}], 'ID': 4, 'Title': 'Attribution'}, {'MetadataGroupID': 1, 'DataTypeID': 10, 'DataType': None, 'MetadataFieldOptions': [{'MetadataFieldID': 5, 'ID': 5, 'Title': 'Car'}, {'MetadataFieldID': 5, 'ID': 6, 'Title': 'Motorcycle'}, {'MetadataFieldID': 5, 'ID': 7, 'Title': 'Bus'}, {'MetadataFieldID': 5, 'ID': 10, 'Title': 'Goods/Delivery Vehicles'}, {'MetadataFieldID': 5, 'ID': 11, 'Title': 'Taxi'}, {'MetadataFieldID': 5, 'ID': 12, 'Title': 'Bike'}], 'ID': 5, 'Title': 'Vehicle Type'}]",1,Extended Information
1,False,False,"[{'MetadataGroupID': 2, 'DataTypeID': 10, 'DataType': None, 'MetadataFieldOptions': None, 'ID': 3, 'Title': 'Group of Companies'}, {'MetadataGroupID': 2, 'DataTypeID': 1, 'DataType': None, 'MetadataFieldOptions': None, 'ID': 6, 'Title': 'External Reference Id'}, {'MetadataGroupID': 2, 'DataTypeID': 1, 'DataType': None, 'MetadataFieldOptions': None, 'ID': 8, 'Title': 'External Url'}]",2,Supporting Data
