poi_id,connection_id,connection_type_id,connection_type,power_kw,voltage,amps,current_type_id,current_type,level_id,level,status_type_id,status,quantity,comments,etl_staged_at
474464,796346,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",80,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Shared,2026-02-09T16:28:40.039843
474463,796345,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",90,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Shared.,2026-02-09T16:28:40.039858
474462,796344,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",20,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.039878
474366,796129,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040594
474365,796128,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040635
474364,796127,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040654
474363,796126,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",24,,,,,2,"{'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}",50,,1,,2026-02-09T16:28:40.040684
474191,795734,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040702
473117,794578,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,400,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.040719
473032,794404,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040736
473031,794402,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040761
473031,794403,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.040777
472820,794002,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.040799
472811,793976,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",120,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040814
472811,793977,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",120,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040829
472810,793974,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040844
